Symptom1,Symptom2,Symptom3,Symptom4,Doctor
Dizziness,Vision problems,Numbness,Severe headache,Neurologist
Dizziness,Severe headache,Vision problems,Numbness,Neurologist
Difficulty speaking,Memory loss,Balance issues,Tremors,Neurologist
Balance issues,Tremors,Difficulty speaking,Memory loss,Neurologist
Joint pain,Stiffness,Swelling,Difficulty walking,Orthopedic
Joint pain,Stiffness,Swelling,Difficulty walking,Orthopedic
Stiffness,Joint pain,Swelling,Difficulty walking,Orthopedic
Back pain,Spine pain,Muscle weakness,Limited movement,Orthopedic
Bone fracture,Bruising,Pain,Swelling,Orthopedic
Limited movement,Back pain,Muscle weakness,Spine pain,Orthopedic
Swelling,Pain,Bone fracture,Bruising,Orthopedic
Muscle weakness,Limited movement,Back pain,Spine pain,Orthopedic
Joint pain,Difficulty walking,Stiffness,Swelling,Orthopedic
Joint pain,Difficulty walking,Swelling,Stiffness,Orthopedic
Muscle weakness,Spine pain,Limited movement,Back pain,Orthopedic
Back pain,Limited movement,Muscle weakness,Spine pain,Orthopedic
Bruising,Bone fracture,Swelling,Pain,Orthopedic
Bone fracture,Bruising,Swelling,Pain,Orthopedic
Bone fracture,Pain,Bruising,Swelling,Orthopedic
Bruising,Pain,Swelling,Bone fracture,Orthopedic
Limited movement,Spine pain,Back pain,Muscle weakness,Orthopedic
Spine pain,Limited movement,Back pain,Muscle weakness,Orthopedic
Bruising,Swelling,Pain,Bone fracture,Orthopedic
Muscle weakness,Spine pain,Limited movement,Back pain,Orthopedic
Muscle weakness,Back pain,Limited movement,Spine pain,Orthopedic
Bruising,Pain,Bone fracture,Swelling,Orthopedic
Stiffness,Swelling,Joint pain,Difficulty walking,Orthopedic
Swelling,Stiffness,Difficulty walking,Joint pain,Orthopedic
Swelling,Bruising,Pain,Bone fracture,Orthopedic
Difficulty walking,Stiffness,Joint pain,Swelling,Orthopedic
Bone fracture,Bruising,Swelling,Pain,Orthopedic
Muscle weakness,Back pain,Spine pain,Limited movement,Orthopedic
Pain,Bruising,Swelling,Bone fracture,Orthopedic
Spine pain,Limited movement,Muscle weakness,Back pain,Orthopedic
Swelling,Joint pain,Difficulty walking,Stiffness,Orthopedic
Limited movement,Muscle weakness,Spine pain,Back pain,Orthopedic
Swelling,Bone fracture,Bruising,Pain,Orthopedic
Swelling,Pain,Bone fracture,Bruising,Orthopedic
Bruising,Bone fracture,Swelling,Pain,Orthopedic
Diarrhea,Nausea,Stomach pain,Vomiting,Gastroenterologist
Indigestion,Acid reflux,Heartburn,Chest discomfort,Gastroenterologist
Gas,Abdominal cramps,Constipation,Bloating,Gastroenterologist
Heartburn,Chest discomfort,Indigestion,Acid reflux,Gastroenterologist
Acid reflux,Chest discomfort,Heartburn,Indigestion,Gastroenterologist
Diarrhea,Stomach pain,Vomiting,Nausea,Gastroenterologist
Nausea,Stomach pain,Diarrhea,Vomiting,Gastroenterologist
Gas,Bloating,Constipation,Abdominal cramps,Gastroenterologist
Constipation,Gas,Abdominal cramps,Bloating,Gastroenterologist
Constipation,Abdominal cramps,Gas,Bloating,Gastroenterologist
Chest discomfort,Indigestion,Heartburn,Acid reflux,Gastroenterologist
Bloating,Abdominal cramps,Gas,Constipation,Gastroenterologist
Gas,Bloating,Abdominal cramps,Constipation,Gastroenterologist
Stomach pain,Nausea,Vomiting,Diarrhea,Gastroenterologist
Gas,Bloating,Constipation,Abdominal cramps,Gastroenterologist
Abdominal cramps,Constipation,Gas,Bloating,Gastroenterologist
Indigestion,Acid reflux,Heartburn,Chest discomfort,Gastroenterologist
Indigestion,Chest discomfort,Heartburn,Acid reflux,Gastroenterologist
Constipation,Gas,Bloating,Abdominal cramps,Gastroenterologist
Indigestion,Heartburn,Chest discomfort,Acid reflux,Gastroenterologist
Gas,Abdominal cramps,Bloating,Constipation,Gastroenterologist
Bloating,Gas,Abdominal cramps,Constipation,Gastroenterologist
Nausea,Stomach pain,Diarrhea,Vomiting,Gastroenterologist
Stomach pain,Nausea,Vomiting,Diarrhea,Gastroenterologist
Stomach pain,Nausea,Vomiting,Diarrhea,Gastroenterologist
Indigestion,Heartburn,Chest discomfort,Acid reflux,Gastroenterologist
Abdominal cramps,Gas,Bloating,Constipation,Gastroenterologist
Constipation,Gas,Bloating,Abdominal cramps,Gastroenterologist
Indigestion,Chest discomfort,Heartburn,Acid reflux,Gastroenterologist
Indigestion,Chest discomfort,Heartburn,Acid reflux,Gastroenterologist
Chest discomfort,Heartburn,Indigestion,Acid reflux,Gastroenterologist
Indigestion,Acid reflux,Heartburn,Chest discomfort,Gastroenterologist
Stomach pain,Nausea,Diarrhea,Vomiting,Gastroenterologist
Constipation,Abdominal cramps,Gas,Bloating,Gastroenterologist
Heartburn,Chest discomfort,Acid reflux,Indigestion,Gastroenterologist
Wheezing,Shortness of breath,Cough,Chest tightness,Pulmonologist
Wheezing,Shortness of breath,Chest tightness,Cough,Pulmonologist
Asthma,Breathlessness,Night cough,Fatigue,Pulmonologist
Shortness of breath,Cough,Wheezing,Chest tightness,Pulmonologist
Phlegm,Difficulty breathing,Chronic cough,Chest pain,Pulmonologist
Night cough,Fatigue,Breathlessness,Asthma,Pulmonologist
Phlegm,Chest pain,Chronic cough,Difficulty breathing,Pulmonologist
Breathlessness,Asthma,Night cough,Fatigue,Pulmonologist
Phlegm,Chronic cough,Difficulty breathing,Chest pain,Pulmonologist
Shortness of breath,Cough,Wheezing,Chest tightness,Pulmonologist
Chest pain,Difficulty breathing,Phlegm,Chronic cough,Pulmonologist
Chronic cough,Phlegm,Chest pain,Difficulty breathing,Pulmonologist
Breathlessness,Night cough,Asthma,Fatigue,Pulmonologist
Phlegm,Chest pain,Difficulty breathing,Chronic cough,Pulmonologist
Phlegm,Difficulty breathing,Chronic cough,Chest pain,Pulmonologist
Night cough,Fatigue,Asthma,Breathlessness,Pulmonologist
Cough,Shortness of breath,Chest tightness,Wheezing,Pulmonologist
Difficulty breathing,Chronic cough,Phlegm,Chest pain,Pulmonologist
Wheezing,Shortness of breath,Chest tightness,Cough,Pulmonologist
Chest pain,Difficulty breathing,Chronic cough,Phlegm,Pulmonologist
Chest tightness,Cough,Shortness of breath,Wheezing,Pulmonologist
Breathlessness,Asthma,Fatigue,Night cough,Pulmonologist
Phlegm,Difficulty breathing,Chronic cough,Chest pain,Pulmonologist
Asthma,Night cough,Fatigue,Breathlessness,Pulmonologist
Fatigue,Night cough,Breathlessness,Asthma,Pulmonologist
Night cough,Asthma,Fatigue,Breathlessness,Pulmonologist
Shortness of breath,Wheezing,Chest tightness,Cough,Pulmonologist
Breathlessness,Fatigue,Night cough,Asthma,Pulmonologist
Shortness of breath,Cough,Wheezing,Chest tightness,Pulmonologist
Breathlessness,Fatigue,Night cough,Asthma,Pulmonologist
Asthma,Fatigue,Night cough,Breathlessness,Pulmonologist
Chronic cough,Phlegm,Difficulty breathing,Chest pain,Pulmonologist
Chest pain,Difficulty breathing,Phlegm,Chronic cough,Pulmonologist
Phlegm,Difficulty breathing,Chronic cough,Chest pain,Pulmonologist
Chest tightness,Shortness of breath,Wheezing,Cough,Pulmonologist
